OBJECTID,FID_MZGE61FL,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,created_user,created_date,last_edited_user,last_edited_date,FID_FTF_ZOI,OBJECTID_1,Distrito,FIRST_DIST,Province,Shape_Leng
1,316,MZ201100000317,MZ,"2,011.000000000000000",317.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-20.741009669000000,32.561095096999999,"9,999.000000000000000",585.000000000000000,WGS84,,,,,21,21.000000000000000,MOSSURIZE,MOSSURIZE,Manica,"441,899.646057999980000"
2,315,MZ201100000316,MZ,"2,011.000000000000000",316.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-20.706185274999999,32.801073590999998,"9,999.000000000000000",274.000000000000000,WGS84,,,,,21,21.000000000000000,MOSSURIZE,MOSSURIZE,Manica,"441,899.646057999980000"
3,314,MZ201100000315,MZ,"2,011.000000000000000",315.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-20.612212573000001,32.720967018000003,"9,999.000000000000000",596.000000000000000,WGS84,,,,,21,21.000000000000000,MOSSURIZE,MOSSURIZE,Manica,"441,899.646057999980000"
4,319,MZ201100000320,MZ,"2,011.000000000000000",320.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-20.458527467000000,32.738472979000001,"9,999.000000000000000",954.000000000000000,WGS84,,,,,21,21.000000000000000,MOSSURIZE,MOSSURIZE,Manica,"441,899.646057999980000"
5,313,MZ201100000314,MZ,"2,011.000000000000000",314.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-20.450390389999999,32.797530582999997,"9,999.000000000000000",945.000000000000000,WGS84,,,,,21,21.000000000000000,MOSSURIZE,MOSSURIZE,Manica,"441,899.646057999980000"
6,317,MZ201100000318,MZ,"2,011.000000000000000",318.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-20.280404999000002,33.003288718999997,"9,999.000000000000000",501.000000000000000,WGS84,,,,,21,21.000000000000000,MOSSURIZE,MOSSURIZE,Manica,"441,899.646057999980000"
7,318,MZ201100000319,MZ,"2,011.000000000000000",319.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-20.246033533999999,32.908318934999997,"9,999.000000000000000",646.000000000000000,WGS84,,,,,21,21.000000000000000,MOSSURIZE,MOSSURIZE,Manica,"441,899.646057999980000"
8,322,MZ201100000323,MZ,"2,011.000000000000000",323.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-19.951188687999998,33.413091326000000,"9,999.000000000000000",154.000000000000000,WGS84,,,,,24,24.000000000000000,SUSSUNDENGA,SUSSUNDENGA,Manica,"483,574.846861000000000"
9,321,MZ201100000322,MZ,"2,011.000000000000000",322.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-19.949958896999998,33.435466196000000,"9,999.000000000000000",163.000000000000000,WGS84,,,,,24,24.000000000000000,SUSSUNDENGA,SUSSUNDENGA,Manica,"483,574.846861000000000"
10,296,MZ201100000297,MZ,"2,011.000000000000000",297.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-19.441123285000000,33.436011790000002,"9,999.000000000000000",520.000000000000000,WGS84,,,,,12,12.000000000000000,MACATE,MACATE,Manica,"200,487.254185000000000"
11,320,MZ201100000321,MZ,"2,011.000000000000000",321.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-19.382851396000000,33.321603408999998,"9,999.000000000000000",600.000000000000000,WGS84,,,,,24,24.000000000000000,SUSSUNDENGA,SUSSUNDENGA,Manica,"483,574.846861000000000"
12,295,MZ201100000296,MZ,"2,011.000000000000000",296.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-19.325693488999999,33.868552663999999,"9,999.000000000000000",164.000000000000000,WGS84,,,,,8,8.000000000000000,GONDOLA,GONDOLA,Manica,"453,942.829268999980000"
13,323,MZ201100000324,MZ,"2,011.000000000000000",324.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-19.278830010000000,32.909912005999999,"9,999.000000000000000",838.000000000000000,WGS84,,,,,24,24.000000000000000,SUSSUNDENGA,SUSSUNDENGA,Manica,"483,574.846861000000000"
14,294,MZ201100000295,MZ,"2,011.000000000000000",295.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,R,-19.223194120999999,33.886958094000001,"9,999.000000000000000",260.000000000000000,WGS84,,,,,8,8.000000000000000,GONDOLA,GONDOLA,Manica,"453,942.829268999980000"
15,284,MZ201100000285,MZ,"2,011.000000000000000",285.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,U,-19.143799895000001,33.487602971000001,"9,999.000000000000000",717.000000000000000,WGS84,,,,,5,5.000000000000000,CIDADE_DE_CHIMOIO,CIDADE_DE_CHIMOIO,Manica,"55,957.132237600003000"
16,281,MZ201100000282,MZ,"2,011.000000000000000",282.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,U,-19.140230557999999,33.464287315000000,"9,999.000000000000000",715.000000000000000,WGS84,,,,,5,5.000000000000000,CIDADE_DE_CHIMOIO,CIDADE_DE_CHIMOIO,Manica,"55,957.132237600003000"
17,283,MZ201100000284,MZ,"2,011.000000000000000",284.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,U,-19.137624818999999,33.481510563000001,"9,999.000000000000000",724.000000000000000,WGS84,,,,,5,5.000000000000000,CIDADE_DE_CHIMOIO,CIDADE_DE_CHIMOIO,Manica,"55,957.132237600003000"
18,282,MZ201100000283,MZ,"2,011.000000000000000",283.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,U,-19.123859974999998,33.480435147999998,"9,999.000000000000000",722.000000000000000,WGS84,,,,,5,5.000000000000000,CIDADE_DE_CHIMOIO,CIDADE_DE_CHIMOIO,Manica,"55,957.132237600003000"
19,275,MZ201100000276,MZ,"2,011.000000000000000",276.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,U,-19.115440270000001,33.457635441999997,"9,999.000000000000000",695.000000000000000,WGS84,,,,,5,5.000000000000000,CIDADE_DE_CHIMOIO,CIDADE_DE_CHIMOIO,Manica,"55,957.132237600003000"
20,274,MZ201100000275,MZ,"2,011.000000000000000",275.000000000000000,MZ,MZ10,Manica,Manica,MOZ004,6.000000000000000,Manica,6.000000000000000,Manica,GPS,U,-19.108585445999999,33.476333203000003,"9,999.000000000000000",714.000000000000000,WGS84,,,,,5,5.000000000000000,CIDADE_DE_CHIMOIO,CIDADE_DE_CHIMOIO,Manica,"55,957.132237600003000"
